timestamp,host,ip,dns_ms,tcp_ms,tls_ms,http_status,total_ms
2026-04-08T10:22:58.281773,github.com,140.82.112.3,9.88,53.25,82.65,200,489.12
2026-04-08T10:23:18.652816,google.com,173.194.208.101,1.5,8.8,24.75,301,268.26
2026-04-08T10:23:29.024030,cloudflare.com,104.16.132.229,1.95,10.16,24.83,301,290.14
2026-04-08T10:23:39.597744,github.com,140.82.114.4,8.51,48.56,71.26,200,488.57
2026-04-08T10:24:00.244041,google.com,173.194.208.101,1.31,69.27,33.9,301,538.67
2026-04-08T10:24:10.733417,cloudflare.com,104.16.132.229,1.42,6.49,19.94,301,253.28
2026-04-08T10:24:21.423313,github.com,140.82.112.3,6.02,50.89,78.56,200,465.8
2026-04-08T10:24:41.797339,google.com,173.194.208.113,7.6,14.01,18.92,301,266.13
2026-04-08T10:24:52.186835,cloudflare.com,104.16.132.229,1.48,7.44,20.14,301,259.68
2026-04-08T10:25:02.962519,github.com,140.82.112.4,6.69,56.5,119.89,200,621.84
2026-04-08T10:25:28.008395,google.com,173.194.208.113,1.35,16.02,24.56,301,336.53
2026-04-08T10:25:38.836381,cloudflare.com,104.16.132.229,1.55,24.28,156.79,301,555.58
2026-04-08T10:25:49.854412,github.com,140.82.113.4,8.32,47.03,71.72,200,459.26
2026-04-08T10:26:10.737775,google.com,173.194.208.113,10.66,11.57,23.67,301,314.63
2026-04-08T10:26:21.386613,cloudflare.com,104.16.132.229,4.08,14.19,36.54,301,398.36
2026-04-08T10:26:32.037164,github.com,140.82.113.4,1.19,42.92,79.19,200,460.45
2026-04-08T10:26:52.389912,google.com,173.194.208.113,1.66,11.25,20.7,301,256.11
2026-04-08T10:27:02.736172,cloudflare.com,104.16.133.229,8.12,12.74,22.13,301,264.22
2026-04-08T10:27:13.418330,github.com,140.82.113.4,9.73,53.12,78.0,200,475.12
2026-04-08T10:27:33.781717,google.com,173.194.208.113,1.58,10.07,22.22,301,255.1
2026-04-08T10:27:47.064938,cloudflare.com,104.16.133.229,6.5,18.73,36.99,301,310.68
2026-04-08T10:27:57.681012,github.com,140.82.114.3,11.46,45.43,73.71,200,490.96
2026-04-08T10:28:18.324212,google.com,173.194.208.113,1.44,10.79,27.42,301,263.18
2026-04-08T10:28:28.852674,cloudflare.com,104.16.133.229,1.48,19.4,30.41,301,353.56
2026-04-08T10:28:39.499127,github.com,140.82.114.3,5.81,71.35,84.54,200,538.69
2026-04-08T10:29:00.053776,google.com,173.194.208.113,1.39,11.6,19.25,301,286.78
2026-04-08T10:29:10.436960,cloudflare.com,104.16.133.229,1.66,8.51,25.34,301,287.66
2026-04-08T10:29:21.027250,github.com,140.82.114.3,1.12,45.16,81.08,200,510.01
2026-04-08T10:29:41.546986,google.com,173.194.208.113,10.01,14.34,23.71,301,271.98
2026-04-08T10:29:51.948216,cloudflare.com,104.16.133.229,2.17,10.48,21.3,301,271.78
2026-04-08T10:30:02.658795,github.com,140.82.113.3,8.82,67.04,83.98,200,533.79
2026-04-08T10:30:23.048615,google.com,173.194.208.113,1.54,8.42,24.87,301,281.84
2026-04-08T10:30:33.927122,cloudflare.com,104.16.133.229,2.43,9.4,18.68,301,262.97
2026-04-08T10:30:44.581857,github.com,140.82.112.4,13.23,54.56,103.16,200,518.78
2026-04-08T10:31:05.374009,google.com,173.194.208.113,1.68,8.69,23.09,301,259.07
2026-04-08T10:31:15.836657,cloudflare.com,104.16.133.229,1.47,17.26,21.96,301,263.47
2026-04-08T10:31:26.507894,github.com,140.82.112.4,1.28,44.9,75.17,200,448.98
2026-04-08T10:31:46.866654,google.com,173.194.208.113,1.53,10.55,20.35,301,258.57
